City,count
Danvers,29
St Joseph,29
Victorville,29
Normal,29
West Valley City,29
Chico,29
Iowa City,29
Provo,29
Monroeville,29
Ogden,29
Morrisville,29
Meriden,29
Indio,29
Lees Summit,28
Thornton,28
Monterey,28
Englewood,28
Bradenton,28
Petaluma,28
Goleta,28
Saint Helena,28
El Monte,28
Framingham,28
Bethlehem,28
Visalia,28
Kent,27
Kennesaw,27
Holyoke,27
Clayton,27
Vista,27
Placerville,27
Fredericksburg,27
Chelmsford,27
Watervliet,27
McKinney,27
West Chester,27
Garland,27
Danbury,27
Bridgeport,27
Madera,27
Round Rock,27
Holland,27
Chapel Hill,27
Pleasant Hill,27
South Lake Tahoe,27
Palmdale,27
Murrieta,26
East Lyme,26
Sioux Falls,26
Hamilton,26
Bowling Green,26
Owings Mills,26
Barstow,26
Brunswick,26
Macon,26
Grand Prairie,26
Gilbert,26
Winter Park,26
Logan,26
Bothell,26
Westlake Village,26
Branson,26
Staten Island,26
National City,26
Westport,26
Barnstable,26
Davenport,26
Naperville,25
Claremont,25
Pueblo,25
Riverhead,25
Aberdeen,25
Lake Placid,25
Rancho Cucamonga,25
Palm Beach Gardens,25
Orchard Park,25
Lake City,25
Buford,25
York,25
Hagerstown,25
Watsonville,24
Corvallis,24
Natick,24
Cohoes,24
Ocean City,24
Malta,24
Altamont,24
Loma Linda,24
Blacksburg,24
Lynnwood,24
Leesburg,24
Evanston,24
Poughkeepsie,24
Whittier,24
Baldwinsville,24
Roseburg,24
Carmel,24
Emeryville,24
Centerville,24
Mount Pleasant,24
Mansfield,24
Cedar Park,24
Edmond,24
Kahului,24
Hackensack,23
Conshohocken,23
Yosemite National Park,23
Bronx,23
Mission Viejo,23
New Paltz,23
Liverpool,23
Portsmouth,23
Milwaukie,23
Tigard,23
Hoboken,23
West Orange,23
Rancho Cordova,23
Newport News,23
Upper Marlboro,23
Los Gatos,23
Bolingbrook,23
St. Petersburg,23
Murfreesboro,23
Eureka,23
Carson City,23
Denton,23
Clarksville,23
Verona,23
Lake George,23
Geneva,23
Northfield,23
Klamath Falls,22
Corpus Christi,22
Roswell,22
Winston-Salem,22
New Castle,22
Dania Beach,22
Manhattan,22
Zeeland,22
Eau Claire,22
Portage,22
Delmar,22
Pittsburg,22
Centennial,22
Reading,22
Montclair,22
Northridge,22
North Little Rock,22
Hot Springs,22
Springdale,22
Falls Church,22
Pigeon Forge,22
Greensburg,21
Easton,21
Santee,21
Elizabethtown,21
Woburn,21
Vienna,21
Union,21
Lubbock,21
Saginaw,21
Puyallup,21
Edina,21
Marshall,21
Oxon Hill,21
Auburn Hills,21
Oregon City,21
Calistoga,21
DeKalb,21
Binghamton,21
Conway,21
Wakefield,21
Yorba Linda,21
Lacey,21
Pensacola,21
East Syracuse,21
Bowie,21
Garden City,20
Marion,20
Benton Harbor,20
